n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1874.0,3.0,123.0,543.0,571.0,623.0,137.0,0.3046958377801494,44.0,2668.0,0.9966056983250172,0.0,0.0,137.0
1872.0,2.0,126.0,553.0,568.0,618.0,133.0,0.3034188034188034,32.0,2700.0,0.9965557961938727,0.0,0.0,133.0
1871.0,1.0,128.0,567.0,576.0,625.0,103.0,0.307856761090326,41.0,2741.0,0.9965133599084539,0.0,0.0,103.0
1867.0,4.0,129.0,553.0,562.0,617.0,135.0,0.30101767541510444,29.0,2770.0,0.9964825554424422,0.0,0.0,135.0
1866.0,1.0,133.0,552.0,576.0,613.0,125.0,0.3086816720257235,40.0,2810.0,0.9964302332348307,0.0,0.0,125.0
1866.0,0.0,134.0,550.0,586.0,608.0,122.0,0.3140407288317256,40.0,2850.0,0.9963875705479749,0.0,0.0,122.0
1864.0,2.0,134.0,562.0,589.0,578.0,135.0,0.3159871244635193,26.0,2876.0,0.9963438788515973,0.0,0.0,135.0
1863.0,1.0,136.0,558.0,580.0,597.0,128.0,0.3113258185721954,40.0,2916.0,0.9962959551727931,0.0,0.0,128.0
1860.0,3.0,137.0,545.0,576.0,614.0,125.0,0.3096774193548387,40.0,2956.0,0.9962523471434248,0.0,0.0,125.0
1857.0,3.0,140.0,560.0,583.0,600.0,114.0,0.3139472267097469,41.0,2997.0,0.9962077109678611,0.0,0.0,114.0
1853.0,4.0,143.0,556.0,566.0,611.0,120.0,0.30545062061521855,29.0,3026.0,0.9961679214248867,0.0,0.0,120.0
1851.0,2.0,147.0,561.0,571.0,605.0,114.0,0.3084819016747704,26.0,3052.0,0.9961254982921953,0.0,0.0,114.0
1850.0,1.0,149.0,572.0,561.0,600.0,117.0,0.30324324324324325,30.0,3082.0,0.9960879197710496,0.0,0.0,117.0
1848.0,2.0,150.0,570.0,568.0,589.0,121.0,0.30735930735930733,36.0,3118.0,0.996055010699294,0.0,0.0,121.0
1846.0,2.0,152.0,555.0,568.0,606.0,117.0,0.3076923076923077,31.0,3149.0,0.9960089291147977,0.0,0.0,117.0
1845.0,1.0,154.0,598.0,563.0,582.0,102.0,0.3051490514905149,31.0,3180.0,0.9959628896139399,0.0,0.0,102.0
1845.0,0.0,155.0,608.0,534.0,599.0,104.0,0.2894308943089431,29.0,3209.0,0.9959303933306939,0.0,0.0,104.0
1843.0,2.0,155.0,602.0,520.0,602.0,119.0,0.2821486706456864,27.0,3236.0,0.9958930663023529,0.0,0.0,119.0
1841.0,2.0,157.0,580.0,521.0,613.0,127.0,0.2829983704508419,37.0,3273.0,0.9958460525184905,0.0,0.0,127.0
1840.0,1.0,159.0,583.0,541.0,608.0,108.0,0.2940217391304348,35.0,3308.0,0.9958001617633828,0.0,0.0,108.0
1836.0,4.0,160.0,580.0,529.0,618.0,109.0,0.28812636165577343,36.0,3344.0,0.9957613335272913,0.0,0.0,109.0
1836.0,0.0,164.0,591.0,524.0,603.0,118.0,0.28540305010893247,29.0,3373.0,0.9957187604225028,0.0,0.0,118.0
1835.0,1.0,164.0,606.0,517.0,598.0,114.0,0.28174386920980926,30.0,3403.0,0.9956756861503657,0.0,0.0,114.0
1834.0,1.0,165.0,620.0,505.0,604.0,105.0,0.27535441657579063,31.0,3434.0,0.9956440448230806,0.0,0.0,105.0
